time10,lat10,lng10,accuracy10,altitude10,strenght10
455437,12.9242991,77.6858901,6,797,26
456440,12.9243152,77.685894,5,797,21
457439,12.9243311,77.6858982,5,797,27
458437,12.9243395,77.6858999,5,796,50
459438,12.924346,77.6858997,6,796,50
460439,12.9243599,77.6859008,5,795,50
461488,12.924376,77.6858989,5,796,50
462538,12.9243868,77.685896,5,796,50
463537,12.9244,77.6858919,5,797,50
464568,12.9244116,77.6858914,4,797,50
465538,12.9244218,77.6858948,5,797,50
466538,12.9244317,77.6858933,5,798,21
467537,12.9244395,77.6858895,10,797,16
468569,12.9244438,77.6858847,10,798,16
469549,12.9244474,77.6858818,5,798,15
470539,12.9244533,77.6858793,5,797,18
471538,12.9244623,77.6858771,4,797,12
472620,12.9244714,77.6858764,4,797,19
473589,12.92448,77.6858766,4,797,29
474589,12.9244933,77.6858774,4,798,29
475638,12.9245245,77.6858742,4,798,24
476637,12.9245374,77.6858733,4,799,20
477638,12.92455,77.6858726,5,799,20
478639,12.924565,77.6858741,4,800,20
479637,12.9245822,77.685879,4,799,17
480666,12.9245972,77.6858832,4,800,17
481637,12.9246073,77.685886,4,800,21
482637,12.924618,77.6858903,4,800,18
483637,12.9246303,77.6858931,4,800,23
484639,12.9246392,77.685894,4,799,22
485689,12.9246479,77.6858942,4,799,18
486688,12.9246599,77.6858961,3,799,16
487685,12.9246767,77.6858996,3,798,14
488688,12.9246923,77.6859,3,799,14
489686,12.9247046,77.6858973,3,800,14
490687,12.9247123,77.6858933,3,799,14
491688,12.9247196,77.6858891,3,798,14
492717,12.9247292,77.6858864,3,798,14
493686,12.9247391,77.6858847,3,798,14
494738,12.9247499,77.685883,3,798,14
495738,12.9247633,77.6858829,3,798,14
496819,12.924777,77.6858842,3,799,32
497839,12.924788,77.6858854,3,798,32
498838,12.9247978,77.6858861,3,798,32
499840,12.9248075,77.6858855,3,798,32
500839,12.9248173,77.6858853,3,799,32
501839,12.9248285,77.6858844,3,799,32
502838,12.9248421,77.6858852,3,798,32
503838,12.9248546,77.6858858,3,798,32
504839,12.9248644,77.685886,3,798,32
505888,12.9248717,77.6858863,3,798,32
506938,12.9248792,77.6858889,3,798,32
507937,12.92489,77.6858941,3,797,32
508965,12.9249029,77.6858996,3,797,32
509939,12.9249127,77.6859032,3,797,32
510939,12.9249235,77.6859046,4,797,32
511989,12.9249347,77.6859028,3,798,32
512988,12.9249467,77.6859015,3,798,32
513990,12.9249579,77.6859002,3,798,11
515038,12.9249686,77.6858993,3,798,11
516037,12.9249799,77.6858988,3,799,11
517038,12.9249924,77.6858986,3,799,11
518038,12.925007,77.6858979,3,798,11
519038,12.9250223,77.6858983,3,798,11
520038,12.925035,77.6858982,4,799,11
521064,12.9250472,77.6858972,4,799,11
522039,12.9250608,77.6858954,4,800,11
523037,12.9250749,77.6858916,3,800,11
524035,12.9250919,77.6858881,3,801,11
525088,12.9251079,77.6858851,3,801,13
526087,12.9251178,77.6858823,3,801,13
527087,12.9251233,77.6858781,3,801,13
528085,12.9251284,77.6858725,3,802,13
529115,12.9251357,77.685869,3,803,13
530134,12.925142,77.6858679,3,804,13
531135,12.9251466,77.6858689,3,803,13
532135,12.9251524,77.6858686,3,803,13
533203,12.9251582,77.6858711,3,803,13
534185,12.9251676,77.6858729,3,803,13
535187,12.9251808,77.685873,3,802,45
536185,12.9251918,77.6858736,3,802,45
537235,12.9251976,77.6858754,3,802,45
538239,12.9252007,77.6858807,3,802,45
539238,12.9252058,77.6858855,3,802,45
540240,12.9252089,77.6858877,3,802,45
541238,12.9252145,77.6858874,3,801,45
542240,12.9252239,77.6858886,3,801,35
543242,12.925231,77.6858892,3,801,35
544289,12.9252383,77.6858893,3,799,35
545366,12.9252516,77.6858888,3,799,35
546338,12.925265,77.6858882,3,800,35
547338,12.9252771,77.6858875,3,800,35
548338,12.9252911,77.6858835,3,800,35
549389,12.9253029,77.6858808,3,800,35
550389,12.9253136,77.6858787,3,800,35
551437,12.9253271,77.6858742,3,800,35
552438,12.9253415,77.6858709,3,801,35
553516,12.9253559,77.6858701,3,801,35
554537,12.9253688,77.6858705,3,801,35
555538,12.9253798,77.685872,3,803,35
556538,12.9253925,77.6858711,3,803,35
557567,12.9254068,77.6858678,3,803,35
558588,12.9254198,77.6858631,3,803,35
559588,12.9254318,77.6858593,3,803,35
560588,12.9254432,77.6858575,3,803,35
561666,12.925466,77.6858526,3,803,35
562635,12.9254796,77.6858486,3,803,35
563637,12.9254892,77.6858461,3,803,35
564637,12.9254949,77.6858465,3,804,35
565637,12.9255003,77.6858474,3,803,35
566639,12.9255063,77.6858472,3,803,35
567638,12.9255156,77.6858503,3,804,35
568687,12.9255288,77.6858531,3,805,35
569685,12.9255427,77.6858554,3,805,35
570687,12.9255552,77.6858548,3,805,15
571687,12.9255673,77.6858515,3,806,15
572688,12.9255814,77.6858484,3,807,15
573690,12.9255933,77.6858478,3,808,15
574689,12.9256055,77.6858498,3,808,15
575689,12.9256193,77.6858523,3,808,15
576737,12.9256336,77.6858533,3,808,15
577738,12.9256466,77.6858541,3,808,15
578738,12.9256558,77.6858538,3,808,15
579788,12.9256647,77.6858527,3,808,15
580789,12.9256709,77.6858501,3,808,15
581869,12.9256776,77.6858483,3,808,15
582837,12.9256912,77.685847,3,808,15
583838,12.9257046,77.685846,3,808,15
584838,12.925718,77.6858432,3,808,15
585870,12.9257333,77.6858404,3,809,15
586838,12.9257453,77.685838,3,809,15
587838,12.9257555,77.6858354,3,809,15
588888,12.9257636,77.6858334,3,809,15
589921,12.9257712,77.6858321,3,810,15
590940,12.9257807,77.6858315,3,809,15
591939,12.9257899,77.6858301,3,809,15
592938,12.9257972,77.6858299,3,809,15
