timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1532483314,0.019973,0.120618,1.183078,0.074988,0.979655,0.557691,0.019827,-0.120326,-0.992536,-0.013678,0.04069,0.110273,8.186401,-23.390198,-44.542664,,,,,,,
1532483314,0.03269,0.120991,1.194072,-0.050202,0.476861,0.498793,0.032446,-0.120696,-0.992159,0.048762,-0.006135,0.09392,8.455444,-23.546082,-44.54541,,,,,,,
1532483314,0.0332,0.118042,1.200881,-0.221566,-0.139842,0.230922,0.032963,-0.117768,-0.992494,0.059368,-0.036193,0.084352,8.30127,-23.336884,-44.688782,,,,,,,
1532483314,0.027866,0.112787,1.203431,-0.276061,-0.229531,0.068786,0.027685,-0.112548,-0.99326,0.025751,-0.013215,0.066686,7.928772,-23.174988,-44.65332,,,,,,,
1532483314,0.029138,0.107052,1.204646,-0.337356,0.35084,0.072821,0.028967,-0.106848,-0.993853,0.060281,0.005804,0.04552,8.12085,-22.763,-44.775146,,,,,,,
1532483314,0.033753,0.098352,1.207983,-0.498508,0.202899,0.27812,0.033584,-0.098194,-0.9946,0.080506,0.03432,-0.074873,8.151855,-22.545837,-44.897461,,,,,,,
1532483314,0.039043,0.086314,1.221064,-0.732411,0.363594,0.841544,0.038888,-0.086207,-0.995518,0.003287,0.08108,0.035664,8.262146,-22.129486,-45.20105,,,,,,,
1532483314,0.039937,0.068844,1.244835,-1.031494,-0.071889,1.329555,0.039832,-0.06879,-0.996836,0.022699,0.091235,0.006311,8.003418,-21.690216,-45.619202,,,,,,,
1532483314,0.026303,0.046953,1.276745,-1.197807,-0.915829,1.679278,0.02627,-0.046935,-0.998552,0.067312,0.014602,0.013872,6.612183,-20.461517,-46.22998,,,,,,,
1532483314,0.001874,0.025503,1.311217,-0.99515,-1.151495,1.671855,0.001873,-0.025501,-0.999673,0.008412,-0.086194,-0.048041,4.930298,-19.828857,-46.818726,,,,,,,
1532483314,-0.013895,0.010052,1.341959,-0.637324,-0.597103,1.463327,-0.013894,-0.010052,-0.999853,0.013878,-0.064441,-0.02801,3.822266,-19.557098,-47.263367,,,,,,,
1532483314,-0.024451,0.001282,1.367892,-0.269251,-0.53913,1.242889,-0.024448,-0.001282,-0.9997,0.091816,0.014176,-0.063349,2.537781,-19.070251,-47.341187,,,,,,,
1532483314,-0.040926,0.000672,1.392405,0.18234,-1.06265,1.262618,-0.040914,-0.000672,-0.999162,0.13355,0.070297,-0.004042,1.414917,-19.125031,-47.197021,,,,,,,
1532483314,-0.069904,0.00875,1.421336,0.669765,-1.630926,1.541462,-0.069845,-0.00875,-0.997519,0.025731,0.027045,0.010016,-0.299866,-19.784058,-47.127136,,,,,,,
1532483314,-0.109224,0.025297,1.456022,1.165171,-2.21444,1.673418,-0.108972,-0.025294,-0.993723,0.019235,0.003779,0.045298,-2.88324,-20.555481,-46.344971,,,,,,,
1532483314,-0.170282,0.04842,1.487517,1.471282,-3.461885,1.176,-0.169262,-0.048401,-0.984382,0.069744,0.016998,-0.0794,-6.126282,-21.964966,-45.491211,,,,,,,
1532483314,-0.220362,0.077269,1.508475,1.582848,-0.349552,0.440667,-0.21793,-0.077193,-0.972907,-0.074138,-0.071382,-0.013834,-8.296265,-23.148651,-44.542236,,,,,,,
1532483314,-0.207934,0.092465,1.51599,0.637156,0.132315,0.07077,-0.205557,-0.092334,-0.974279,-0.339716,-0.081967,-0.612406,-8.304138,-24.033203,-44.161316,,,,,,,
1532483314,-0.216185,0.104038,1.516579,0.443469,-0.458385,-0.08234,-0.213345,-0.103851,-0.971442,0.014248,-0.016099,0.109381,-8.389343,-24.395874,-43.843262,,,,,,,
1532483314,-0.22754,0.102827,1.520387,-0.302559,-0.814749,0.386979,-0.22439,-0.102646,-0.969078,0.044748,-0.055954,0.008583,-9.139465,-24.411377,-43.895142,,,,,,,
